sp_id,segment,persona,context_scale,current_workflow,primary_pain,reaction_to_evidence_citations,reaction_to_approval_gate,main_objection,adoption_signal_hypothesis
SP01,settlement,Freelance bookkeeper serving 8 DTC Shopify stores,~3k orders/mo across clients,Bank feed auto-match then line-by-line Excel review,Gross-to-net gap (fees/reserves/refunds) makes payout totals never match exports,Positive - wants the failed-match reason before the suggested fix,Requires it - will not let a tool post recovery entries,Per-client data upload consent is unclear,Would trial on one messy client month-end
SP02,settlement,In-house finance ops at a 3PL,~40 carrier invoices/mo,Contract rate card in Excel + manual invoice audit,Carrier overbilling hides in accessorial fees below audit thresholds,Positive - cites contract clause is exactly what disputes need,Positive - disputes already require manager sign-off,Carrier contracts are PDFs with non-standard terms,Would pay if recovery found exceeds tool cost
SP03,settlement,DTC brand finance manager,~15k orders/mo Shopify+Stripe+PayPal,Weekly payout matching in spreadsheets,Refunds land outside original payout bundles and strand deposits,Positive but wants cross-period linking visible,Neutral - wants bulk approval for low-value items,Another tool to reconcile against the tools,Weekly exception queue replacing Friday spreadsheet ritual
SP04,settlement,Bookkeeping agency owner (5 staff),60+ SMB clients,Junior staff do first-pass matching with checklists,Training juniors to investigate exceptions consistently,Very positive - evidence trail doubles as training material,Positive - keeps liability with a human reviewer,Per-seat pricing across 60 clients,Would standardize agency SOP on the exception queue
SP05,settlement,Marketplace seller accountant (Amazon),~8k orders/mo FBA,Settlement report parsing scripts + manual tie-out,Amazon fee types change and break the parsing scripts monthly,Positive - wants fee-type-level evidence rows,Neutral,Script maintenance already sunk cost - switching feels risky,Would switch after one month of parallel run matching
SP06,settlement,AP specialist at a mid-size wholesaler,~200 supplier invoices/mo,3-way match in ERP then manual exception folder,Duplicate invoices arrive via portal and email simultaneously,Positive,Requires it - duplicate rejections need audit trail,IT will not approve a cloud upload of supplier master data,On-prem or VPC deployment offer
SP07,settlement,Solo Etsy/eBay seller doing own books,~400 orders/mo,Quarterly catch-up in a spreadsheet,No budget for connectors; thousands of PayPal lines done by hand,Indifferent to citations - wants it done cheaply,Indifferent - approves everything anyway,Any subscription over ~USD20/mo,Free CSV tier with paid exception explanations
SP08,settlement,Controller at a subscription-box company,~25k orders/mo,Month-end close checklist + reconciliation binder,Month-end cut-off exceptions (order in Jan payout in Feb) consume close days,Positive - period cut-off evidence is the close bottleneck,Requires it,Must integrate with NetSuite close process not replace it,Close-days-saved metric in a pilot
SP09,settlement,E-commerce finance analyst in a live-stream retailer,~50k orders/mo across Douyin/Taobao,Platform bill downloads + VLOOKUP tie-outs,Live-stream return spikes create settlement noise that looks like fraud,Positive - wants return-wave context in evidence,Positive,Platform bill formats change without notice,Would champion internally if Douyin format supported
SP10,settlement,Fractional CFO for 6 startups,Mixed volumes,Reviews client bookkeepers' reconciliations monthly,Cannot trust bookkeeper judgment calls without re-checking,Very positive - citations let review be sample-based,Requires it - CFO is the approver,Client-by-client onboarding effort,Would recommend to clients if onboarding under 1 hour
